Id,Label,Code,City,latitude,longitude
87,Indianapolis International,IND,"Indianapolis, IN",39.717222,-86.294722
88,International,ERI,Erie,42.083333,-80.183333
89,International,GGW,Glasgow,48.216667,-106.616667
90,International,GTF,Great Falls,47.5,-111.366667
91,International,EYW,Key West,24.55,-81.766667
92,International,MOT,Minot,48.266667,-101.283333
93,International,RST,Rochester,43.908333,-92.5
94,International,OLF,Wolf Point,48.083333,-105.566667
95,Intl Jetport,PWM,Portland,43.65,-70.3
96,Jackson-evers,JAN,Jackson,32.311111,-90.075833
97,"Jacksonville,",JAX,"Jacksonville, FL",30.416667,-81.633333
98,James Cox Dayton Intl,DAY,"Dayton, Oh",39.75,-84.183333
99,Jamestown,JMS,Jamestown,46.933333,-98.683333
100,Jefferson County,BPT,Beaumont,30.083333,-94.1
101,Joe Foss Field Airport,FSD,Sioux Falls,43.581944,-96.741944
102,John F Kennedy Intl,JFK,New York,40.633333,-73.783333
103,John Wayne,SNA,"Santa Ana, CA",33.666667,-117.866667
104,Kalamazoo/Battle Creek Intl,AZO,Kalamazoo,42.235,-85.551944
105,Kansas City International Airport,MCI,Kansas City,39.291667,-94.730556
106,Kent County Intl,GRR,Grand Rapids,42.883333,-85.533333
107,Key Field,MEI,Meridian,32.333333,-88.75
108,Kingsley Field,LMT,Klamath Falls,42.166667,-121.733333
109,La Guardia,LGA,New York,40.766667,-73.866667
110,Lafayette Regional,LFT,"Lafayette, LA",30.205278,-91.9875
111,Lambert-St. Louis International,STL,St Louis,38.748611,-90.37
112,Lehigh Valley International,ABE,Allentown,40.652222,-75.440278
113,Lemons Municipal,TUP,Tupelo,34.268056,-88.77
114,Lincoln,LNK,"Lincoln, NE",40.850833,-96.759167
115,Logan International,BOS,Boston,42.363056,-71
116,Long Beach Municipal,LGB,Long Beach,33.816667,-118.15
117,Long Island Mac Arthur,ISP,"Islip, NY",40.795278,-73.100278
118,Los Angeles International,LAX,Los Angeles,33.9425,-118.407222
119,Louis Armstrong New Orl̩ans International Airport,MSY,New Orleans,29.993333,-90.258056
120,Louisville International,SDF,"Louisville, KY",38.174444,-85.736111
121,Love Field,DAL,Dallas,32.852778,-96.85
122,Lovell Field,CHA,"Chattanooga,TN",35.035278,-85.203889
123,Manchester-boston Regional Airport,MHT,"Manchester, NH",42.9325,-71.435556
124,Mason City Municipal,MCW,"Mason City, IA",43.157778,-93.331389
125,MBS International,MBS,Saginaw,43.532778,-83.079722
126,Mc Allen Miller International,MFE,"Mc Allen, TX",26.175833,-98.238611
127,Mc Carran Intl,LAS,Las Vegas,36.083333,-115.166667
128,Mc Ghee Tyson,TYS,Knoxville,35.95,-83.916667
129,Melbourne International Airport,MLB,Melbourne,28.1,-80.633333
130,Memphis International,MEM,Memphis,35.066667,-89.966667
131,Metropolitan Airport,CAE,"Columbia, SC",33.95,-81.116667
132,Miami International Airport,MIA,Miami,25.783333,-80.266667
133,Mid-Continent,ICT,Wichita,37.65,-97.433333
134,Midway,MDW,Chicago,41.783333,-87.75
135,Mineta San Jose International Airport,SJC,San Jose,37.352778,-121.919444
136,Minneapolis - St. Paul Intl,MSP,Minneapolis,44.883333,-93.216944
137,Missoula International,MSO,Missoula,46.916667,-114.083333
138,Mobile Regional Airport,MOB,"Alabama, AL",30.691111,-88.242778
139,Monterey Peninsula,MRY,Monterey,36.583333,-121.85
140,Municipal,ABR,Aberdeen,45.45,-98.433333
141,Municipal,LSE,La Crosse,43.883333,-91.25
142,Municipal,LCH,Lake Charles,30.116667,-93.216667
143,Municipal,LWT,Lewistown,47.05,-109.466667
144,Municipal,MLS,Miles City,46.433333,-105.883333
145,Municipal,MLU,Monroe,32.5,-92.033333
146,Municipal,PSP,Palm Springs,33.833333,-116.5
147,Municipal,STC,Saint Cloud,45.583333,-94.183333
148,Municipal,SBA,"Santa Barbara, CA",33.426111,-119.840278
149,Municipal/Baer Field,FWA,Fort Wayne,41.116667,-85.116667
150,Muskegon,MKG,Muskegon,43.166667,-86.233333
151,Myrtle Beach Afb,MYR,Myrtle Beach,33.7,-78.966667
152,Nashville International,BNA,"Nashville, TN",36.124444,-86.678056
153,Natrona County International Airport,CPR,"Casper, WY",42.908056,-106.464444
154,Newark Liberty International,EWR,Newark,40.6925,-74.168611
155,Newport News/williamsb,PHF,Newport News,37.133333,-76.5
156,Nez Perce County Rgnl,LWS,Lewiston,46.383333,-117.033333
157,Norfolk International Airport,ORF,Norfolk,36.9,-76.2
158,North Bend,OTH,North Bend,43.416667,-124.25
159,Northwest Arkansas Regional,XNA,"Fayetteville, AR",36.281667,-94.306667
160,Oakland International Airport,OAK,Oakland,37.716667,-122.216667
161,Oneida County,RHI,Rhinelander,45.633333,-89.45
162,Ontario International,ONT,Ontario,34.056111,-117.601111
163,Orlando International,MCO,Orlando,28.429444,-81.308889
164,Outagamie County,ATW,Appleton,44.266667,-88.516667
165,Palm Beach International,PBI,West Palm Beach,26.683056,-80.095556
166,Pangborn Field,EAT,Wenatchee,47.4,-120.2
167,Pendleton,PDT,Pendleton,45.7,-118.833333
168,Philadelphia International,PHL,Philadelphia,39.871944,-75.241111
169,Piedmont Triad Intl,GSO,"Greensboro, NC",36.097778,-79.937222
170,Pierre,PIR,Pierre,44.383333,-100.283333
171,Pittsburgh International,PIT,"Pittsburgh, PA",40.491389,-80.232778
172,Port Columbus Intl,CMH,Columbus,40,-82.883333
173,Portland International,PDX,"Portland, OR",45.588611,-122.5975
174,Pullman-Moscow Regional Airport,PUW,Pullman,46.75,-117.116667
175,Quad-City,MLI,Moline,41.45,-90.516667
176,Raleigh-durham International Airport,RDU,"Raleigh/Durham, NC",35.877778,-78.7875
177,Redding,RDD,Redding,40.5,-122.3
178,Regional,DAB,Daytona Beach,29.183333,-81.05
179,Regional,FSM,Fort Smith,35.333333,-94.366667
180,Regional,PNS,Pensacola,30.466667,-87.183333
181,Regional,RAP,Rapid City,44.033333,-103.05
182,Regional,SHV,Shreveport,32.45,-93.816667
183,Reno-Tahoe International,RNO,"Reno, NV",39.499167,-119.768056
184,Richland Municipal,SDY,Sidney,47.716667,-104.183333
185,Richmond International Airport,RIC,"Richmond, VA",37.5,-77.316667
186,Roanoke Regional Airport,ROA,Roanoke,37.316667,-79.983333
187,Roberts Field,RDM,Redmond,44.25,-121.15
188,Rogue Valley International - Medford Airport,MFR,Medford,42.366667,-122.866667
189,Ronald Reagan Washington National Airport,DCA,"Washington, DC",38.851944,-77.037778
190,Ryan,BTR,Baton Rouge,30.533333,-91.15
191,Sacramento International,SMF,"Sacramento, CA",38.7,-121.616667
192,Salt Lake City International,SLC,"Salt Lake City, UT",40.788333,-111.966667
193,San Antonio International,SAT,San Antonio,29.533333,-98.466667
194,San Diego International Airport,SAN,San Diego,32.733333,-117.183333
195,San Francisco International,SFO,"San Francisco, CA",37.618889,-122.375
196,San Luis County Regional Airport,SBP,San Luis Obispo,35.236944,-120.641944
197,Sarasota-Bradenton International Airport,SRQ,"Sarasota, FL",27.395556,-82.554444
198,Savannah/Hilton Head,SAV,Savannah,32.133333,-81.2
199,Sawyer International,MQT,Marquette,46.533333,-87.566667
200,Seattle-Tacoma International,SEA,"Seattle, WA",47.448889,-122.309444
201,Sheffield,MSL,Sheffield,34.75,-87.616667
202,Sioux Gateway,SUX,Sioux City,42.4,-96.383333
203,Sky Harbor Intl,PHX,Phoenix,33.433333,-112.033333
204,South Bend Regional,SBN,South Bend,41.7,-86.316667
205,Southwest Florida Reg,RSW,Fort Myers,26.542222,-81.755278
206,Spokane International,GEG,Spokane,47.619722,-117.533889
207,Springfield-Branson Rg,SGF,Springfield,37.25,-93.383333
208,Stewart,SWF,Newburgh,41.5,-74.016667
209,Sun Valley,SUN,Sun Valley,43.5,-114.316667
210,Syracuse Hancock International Airport,SYR,Syracuse,43.116667,-76.116667
211,T. F. Green Airport,PVD,Providence,41.733333,-71.433333
212,Tallahassee Regional Airport,TLH,Tallahassee,30.396389,-84.350278
213,Tampa International,TPA,Tampa,27.975556,-82.533056
214,Toledo Express,TOL,"Toledo, OH",41.586944,-83.807778
215,Tompkins County,ITH,Ithaca,42.483333,-76.466667
216,Tri-cities,PSC,"Pasco, WA",46.264722,-119.119167
217,Tri-cities Regional,TRI,Blountville,36.475278,-82.4075
218,Tucson International Airport,TUS,"Tucson, AZ",32.116111,-110.941111
219,Tulsa International,TUL,Tulsa,36.198333,-95.888056
220,University Of Illinois Willard,CMI,Champaign,40.033333,-88.283333
221,University Park,SCE,State College,40.772222,-77.883333
222,Walla Walla,ALW,Walla Walla,46.1,-118.3
223,Washington Dulles International,IAD,"Washington, DC",38.944444,-77.455833
224,Waterloo,ALO,Waterloo,42.55,-92.383333
225,Watertown,ATY,Watertown,44.916667,-97.15
226,Westchester County Apt,HPN,White Plains,41.066667,-73.7
227,Westmoreland County,LBE,Latrobe,40.283333,-79.4
228,Wilkes-Barre/Scranton International Airport,AVP,"Wilkes-Barre/Scranton, PA",41.338333,-75.723333
229,Will Rogers World Airport,OKC,Oklahoma City,35.393056,-97.600833
230,William P Hobby,HOU,"Houston, TX",29.645556,-95.278889
231,Wilmington International,ILM,Wilmington,34.270556,-77.9025
232,Yakima Air Terminal,YKM,Yakima,46.566667,-120.533333
233,Yampa Valley,HDN,Hayden,40.519444,-106.869444
234,Yeager,CRW,Charleston,38.366667,-81.6
